date,SPY wkly close,QQQ wkly close,DIA wkly close,VNQ wkly close,BITO wkly close
04-05-2021,411.49,337.11,337.86,93.74,
04-12-2021,417.26,342.01,341.86,96.12,
04-19-2021,416.74,339.42,340.43,97.78,
04-26-2021,417.3,337.99,338.94,99.08,
05-03-2021,422.12,334.2,347.88,98.44,
05-10-2021,416.58,326.39,344.26,97.08,
05-17-2021,414.94,327.01,342.04,97.88,
05-24-2021,420.04,333.93,345.64,99.88,
05-31-2021,422.6,335.6,347.9,102.54,
06-07-2021,424.31,341.24,345.12,105.08,
06-14-2021,414.92,342.63,332.96,101.79,
06-21-2021,426.61,349.46,344.45,102.91,
06-28-2021,433.72,358.64,347.94,102.54,
07-05-2021,435.52,361.01,348.73,105.06,
07-12-2021,431.34,357.6,346.74,105.31,
07-19-2021,439.94,368.2,350.57,105.85,
07-26-2021,438.51,364.57,349.48,106.29,
08-02-2021,442.49,368.05,352.09,106.91,
08-09-2021,445.92,368.82,355.39,106.76,
08-16-2021,443.36,367.73,351.16,106.59,
08-23-2021,450.25,376.04,354.57,107.0,
08-30-2021,453.08,381.57,354.14,110.92,
09-06-2021,445.44,376.59,346.7,106.4,
09-13-2021,441.4,373.83,345.64,106.4,
09-20-2021,443.91,373.33,347.87,104.83,
09-27-2021,434.24,360.18,343.18,103.22,
10-04-2021,437.86,361.16,347.53,102.81,
10-11-2021,445.87,368.94,352.85,106.38,
10-18-2021,453.12,374.1,356.74,109.04,39.51
10-25-2021,459.25,386.11,358.23,109.04,40.39
11-01-2021,468.53,398.6,363.3,109.98,39.26
11-08-2021,467.27,394.7,361.28,109.67,41.12
11-15-2021,468.89,403.99,355.91,109.42,37.01
11-22-2021,458.97,391.2,349.02,108.0,34.44
11-29-2021,453.42,383.13,346.24,107.77,33.89
12-06-2021,470.74,398.01,360.23,110.76,30.75
12-13-2021,459.87,384.91,353.63,111.74,29.29
12-20-2021,470.6,396.92,359.36,113.15,32.34
12-27-2021,474.96,397.85,363.32,116.01,28.9
01-03-2022,466.09,379.86,362.31,111.03,26.41
01-10-2022,464.72,380.01,359.14,109.47,27.17
01-17-2022,437.98,351.69,342.35,105.23,24.1
01-24-2022,441.95,351.8,347.11,104.95,23.77
01-31-2022,448.7,358.01,350.87,105.02,25.56
02-07-2022,440.46,347.06,347.29,103.27,26.65
02-14-2022,434.23,341.51,340.98,102.01,25.11
02-21-2022,437.75,345.77,340.54,104.09,24.53
02-28-2022,432.17,337.3,336.47,105.24,24.78
03-07-2022,420.07,324.4,330.02,103.67,24.02
03-14-2022,444.52,351.49,347.19,106.4,26.43
03-21-2022,452.69,359.35,348.54,106.23,27.94
03-28-2022,452.92,361.85,348.01,110.48,29.11
04-04-2022,447.57,349.15,347.37,109.78,26.68
04-11-2022,437.79,338.43,344.29,108.74,24.88
04-18-2022,426.04,325.4,338.27,109.76,24.63
04-25-2022,412.0,313.25,329.69,103.94,23.84
05-02-2022,411.34,309.25,329.07,99.9,22.39
05-09-2022,401.72,301.94,322.23,96.78,18.68
05-16-2022,389.63,288.68,312.42,94.83,18.19
05-23-2022,415.26,309.1,332.07,100.3,17.89
05-30-2022,410.54,306.2,329.35,98.27,18.34
06-06-2022,389.8,288.84,314.37,92.62,17.95
06-13-2022,365.86,274.69,298.72,87.7,12.72
06-20-2022,390.08,294.61,315.02,93.12,13.16
06-27-2022,381.24,282.13,310.85,92.75,11.96
07-04-2022,388.67,295.35,313.46,92.08,13.48
07-11-2022,385.13,291.87,312.66,91.79,13.1
07-18-2022,395.09,301.99,319.06,94.51,13.98
07-25-2022,411.99,315.46,328.66,98.96,14.83
08-01-2022,413.47,321.75,327.97,97.33,14.17
08-08-2022,427.1,330.39,337.83,101.72,14.96
08-15-2022,422.14,322.86,337.04,99.52,13.08
08-22-2022,405.31,307.44,322.93,95.62,12.59
08-29-2022,392.24,295.17,313.76,91.88,12.18
09-05-2022,406.6,307.09,322.28,95.81,13.17
09-12-2022,385.56,289.32,308.05,90.29,12.06
09-19-2022,367.95,275.51,295.86,83.44,11.55
09-26-2022,357.18,267.26,287.3,80.17,11.99
10-03-2022,362.79,269.1,292.97,77.44,11.96
10-10-2022,357.63,260.74,296.82,76.14,11.8
10-17-2022,374.29,275.42,310.88,78.15,11.84
10-24-2022,389.02,281.22,328.58,83.07,12.74
10-31-2022,376.35,264.68,324.14,81.66,13.06
11-07-2022,398.51,287.96,337.79,86.99,9.78
11-14-2022,396.03,284.82,337.37,85.5,10.14
11-21-2022,402.33,286.92,343.52,87.04,10.19
11-28-2022,406.91,292.55,344.74,87.63,10.64
12-05-2022,393.28,282.04,335.37,85.83,10.66
12-12-2022,383.27,274.25,328.97,84.09,10.5
12-19-2022,382.91,267.36,331.93,82.74,10.5
12-26-2022,382.43,266.28,331.33,82.48,10.43
01-02-2023,388.08,268.8,336.28,84.37,10.67
01-09-2023,398.5,280.97,343.04,88.18,12.38
01-16-2023,395.88,282.68,333.67,87.69,14.19
01-23-2023,405.68,296.26,339.61,90.34,14.65
01-30-2023,412.35,306.18,338.98,91.94,14.63
02-06-2023,408.04,299.7,338.73,89.96,13.55
02-13-2023,407.26,301.16,338.29,89.17,15.53
02-20-2023,396.38,291.85,328.12,85.71,14.42
02-27-2023,404.19,299.68,334.21,86.93,13.69
03-06-2023,385.91,288.55,319.73,80.81,12.25
03-13-2023,389.99,305.36,318.5,80.55,16.65
03-20-2023,395.75,310.89,322.32,78.79,17.16
03-27-2023,409.39,320.93,332.62,83.04,17.52
04-03-2023,409.19,318.05,334.9,82.39,16.69
04-10-2023,412.46,318.57,338.84,81.19,18.11
04-17-2023,412.2,316.61,338.11,82.37,16.22
04-24-2023,415.93,322.56,341.03,83.3,17.41
05-01-2023,412.63,322.89,336.73,82.99,17.19
05-08-2023,411.59,325.03,333.2,82.03,15.29
05-15-2023,418.62,336.51,334.19,80.4,15.53
05-22-2023,420.02,348.4,330.84,79.3,15.44
05-29-2023,427.92,354.65,338.07,81.96,15.29
06-05-2023,429.9,354.5,339.27,82.68,14.78
06-12-2023,439.46,367.93,342.95,83.92,14.78
06-19-2023,433.21,362.54,337.16,80.13,17.41
06-26-2023,443.28,369.42,343.85,83.56,16.98
07-03-2023,438.55,366.24,337.43,83.73,16.19
07-10-2023,449.28,379.07,345.17,86.13,16.13
07-17-2023,452.18,375.63,352.14,86.18,15.95
07-24-2023,456.92,383.48,354.48,84.71,15.6
07-31-2023,446.81,372.04,350.65,83.03,15.0
08-07-2023,445.65,366.24,353.0,83.33,15.21
08-14-2023,436.5,358.13,345.12,80.44,13.44
08-21-2023,439.97,364.02,343.5,80.94,13.35
08-28-2023,451.19,377.59,348.98,82.52,13.17
09-04-2023,445.52,372.58,346.51,81.58,13.33
09-11-2023,443.37,370.81,346.14,81.81,13.57
09-18-2023,430.42,357.91,339.58,77.44,13.62
09-25-2023,427.48,358.27,334.95,75.66,13.81
10-02-2023,427.31,361.26,334.09,74.27,14.27
